Prompt,Done
" your challenge (should you choose to accept it) is to write a poem that's based on a single emotion. However, that emotion shouldn't be one of the primary emotions - simple love, joy, surprise, fear, anger, and sadness are all out. Secondary emotions are all fair game. https://changingminds.org/explanations/emotions/basic%20emotions.htm",
"“’It wasn’t a rhyme time,’” said Gwendolyn Brooks in 1968, as quoted in Major Jackson’s essay “Anatomy of a Pulitzer Prize Letter” in the May/June issue of Poets & Writers Magazine. Brooks was speaking about her decision to move away from the sonnet and other traditional verse forms in favor of allying more closely to the Black community and politically conscious poetry. Do you consider the contemporary moment a “rhyme time?” Why or why not? How might you transform the style and/or meter of your poetry to reflect your own evolving creative interests, priorities, and influences? Write a poem that marks some sort of departure from your typical work, in spirit and purpose.",
"“‘When you finish the book, you close the pages and let your mind wander to the first thing you remember—the most vivid moment, a feeling, a character, a phrase, or even something in your own life experience that resonated and has been resurfaced by the story,’” says Ben Please in “The Bookshop Band” by Dana Isokawa in the May/June issue of Poets & Writers Magazine. The duo, comprised of Please and Beth Porter, composes and performs literary-themed music by a wide range of authors, oftentimes inspired by just one book. Try this exercise while composing a new poem: Select a book you read recently and let your mind’s wandering—and lingering on a word, phrase, or feeling—lead you to the starting point of a poem.",
"“[Nashville] is hot chicken on sopping white bread with green pickle / chips—sour to balance prismatic, flame-colored spice / for white people,” writes Tiana Clark in her poem “Nashville,” published in the New Yorker in 2017. The poem interlaces personal experience and anecdotes with a historical overview of the Southern city’s development. “I-40 bisected the black community / like a tourniquet of concrete. There were no highway exits. / 120 businesses closed,” writes Clark. Write a poem about a city you’ve lived in. How does your time there intersect with the history of the town? Use research to find significant events that take your poem to a deeper place beyond your own life.",
"“A language is a map of our failures,” writes Adrienne Rich in “The Burning of Paper Instead of Children,” a poem that begins by reflecting on an incident involving children burning a book in a backyard. In the five-section poem, several forms and topics are discussed as the scope of the situation is widened to a global scale, then focused onto the intimacies of sexual relations, resulting in a capacious exploration of language and its failures. Write a poem that reflects upon your relationship to your first language and expands upon how communication can fail us.",
"“A title has the capacity to do an immense amount of heavy lifting,” writes torrin a. greathouse in the January/February 2021 issue of Poets & Writers Magazine. “It is what calls a reader into the work; it can construct an entire world before they enter it and is the first frame of reference for it once they have left it.” This week, choose an abandoned draft of a poem and revise it by changing its title. How is the tension raised by creating a new way for the reader to enter the poem? How has the poem stopped being stagnant and lifted off?",
"“Above my desk, whirring and self-important / (Though not much larger than a hummingbird), / In finely woven robes, school of Van Eyck / Hovers an evidently angelic visitor,” writes James Merrill in his poem “Angel.” The speaker in the poem is visited by an angel whose presence stirs up questions about the passive act of writing: “How can you sit there with your notebook? / What do you think you are doing?” This week, write a poem in which the speaker is visited by a watchful, otherworldly presence. Try, like Merrill, to be descriptive about the setting in order to set the mood.",
"“After killing your god, hotbox the gun smoke,” writes Kemi Alabi in “How to Fornicate,” the opening poem of their debut collection, Against Heaven, winner of the 2021 Academy of American Poets First Book Award, published by Graywolf Press in April. Alabi’s poem enumerates a set of instructions that lyrically lay out the relationship the speaker has with sex and sexuality, using imperatives to speak directly to the reader. These intimate instructions transform throughout the poem, ranging from clear actions to more unexpected uses of nouns that have been repurposed as verbs: “Choir everything. Tenor the roses. / Alto the mulch. Mezzo the flies.” Write a poem in which each sentence begins with an imperative. Try, as Alabi does in the poem, to use a range of words and lexicons to challenge traditional instructional language.",
"“All too often, on a ‘poetry scene,’ people prioritise ‘subject matter,’” says John Burnside in a 2023 interview about his writing process by Jesse Nathan published on McSweeney’s Internet Tendency. “I am sure that, as I am working, environmental concerns insinuate their way into the content of a poem organically, as other concerns will—but I would never start from there.” Inspired by the late Scottish poet, who died at the age of sixty-nine on May 29, write a poem that springs not from a predetermined topic or subject matter, but instead allows you to “trust in the sounds, the rhythms that come out of the day-to-day, the sheer immediacy and truth of the quotidian…and the images that lead, sometimes via fairly roundabout paths, to metaphor.” Later, as you reread and revise, what do you discover is the subject of your poem? What might have organically insinuated itself into your poem?",
"“And some time make the time to drive out west / Into County Clare, along the Flaggy Shore, / In September or October,” writes Seamus Heaney in his poem “Postscript,” which describes in detail an Irish county that the speaker recommends the addressee visit. The poem uses deep observation to create an all-encompassing description of this craggy coastline’s geographic features and fauna along the Wild Atlantic Way. “The surface of a slate-grey lake is lit / By the earthed lightning of a flock of swans,” writes Heaney. This week, think back to a natural landscape that has made a lasting impression on you and write a poem addressed to a loved one that describes this unique terrain’s lasting beauty.",
"“As much as we might have enjoyed reading (and writing) poetry when we were children, in school we are taught that poetry is inherently ‘difficult,’ and that by its very nature it somehow makes meaning by hiding meaning,” writes Matthew Zapruder in the New York Times essay “Understanding Poetry Is More Straightforward Than You Think.” In “To Vibrebrate: In Defense of Strangeness,” a response to Zapruder's piece on the Poetry Foundation’s Harriet blog, Johannes Göransson counters: “Not all poems prioritize everyday language. Some poems value arguments and narrative above the experience of language. Sometimes poems have mystical meanings.... The idea that poetry—or language in general—is ever ‘straightforward’ seems impossible to my immigrant ears and eyes.” Taking inspiration from the issues being argued, choose a theme or subject and then write two versions of the poem: one that uses more literal or straightforward language, and one that approaches your subject from a more oblique or mystical angle.",1
"“At the etymological root of both healing and health is the idea of ‘wholeness.’ To heal, then, is to take what has been broken, separated, fragmented, injured, exiled and restore it to wholeness,” writes Jane Hirshfield in her essay “Poetry, Permeability, and Healing” in the Spring-Summer 2018 issue of American Poets. Think of something in your life that has been either physically or figuratively broken, fragmented, or made distant, and write a poem that attempts to restore its wholeness. How might you use the ideas of rejoining parts, searching for new openings, or creating connections for empathy, to write a poem that begins to make what is broken whole?",
